ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS,Same_Timezone
160260,2012,9,1/9/2012,20366,EV,5292,10397,ATL,Atlanta,GA,AVL,Asheville,NC,2214,111,111,111,164,America/New_York,1.32617E+12,America/New_York,1.32609E+12,TRUE
646393,2012,9,1/9/2012,20366,EV,5292,10397,ATL,Atlanta,GA,AVL,Asheville,NC,2214,111,111,111,164,America/New_York,1.32617E+12,America/New_York,1.32609E+12,TRUE
388177,2012,2,1/2/2012,19393,WN,34,14107,PHX,Phoenix,AZ,SAN,San Diego,CA,2208,111,111,111,304,America/Phoenix,1.32557E+12,America/Los_Angeles,1.3255E+12,FALSE
874310,2012,2,1/2/2012,19393,WN,34,14107,PHX,Phoenix,AZ,SAN,San Diego,CA,2208,111,111,111,304,America/Phoenix,1.32557E+12,America/Los_Angeles,1.3255E+12,FALSE
29067,2012,11,1/11/2012,19805,AA,1614,13303,MIA,Miami,FL,LGA,New York,NY,2203,111,111,111,1096,America/New_York,1.32634E+12,America/New_York,1.32626E+12,TRUE
515200,2012,11,1/11/2012,19805,AA,1614,13303,MIA,Miami,FL,LGA,New York,NY,2203,111,111,111,1096,America/New_York,1.32634E+12,America/New_York,1.32626E+12,TRUE
1001333,2012,11,1/11/2012,19805,AA,1614,13303,MIA,Miami,FL,LGA,New York,NY,2203,111,111,111,1096,America/New_York,1.32634E+12,America/New_York,1.32626E+12,TRUE
128217,2012,31,1/31/2012,19790,DL,2232,13487,MSP,Minneapolis,MN,FAR,Fargo,ND,2155,221,111,111,223,America/Chicago,1.32807E+12,America/Chicago,1.328E+12,TRUE
180457,2012,14,1/14/2012,20366,EV,6049,12264,IAD,Washington,DC,CLE,Cleveland,OH,2155,144,111,111,288,America/New_York,1.3266E+12,America/New_York,1.32652E+12,TRUE
614350,2012,31,1/31/2012,19790,DL,2232,13487,MSP,Minneapolis,MN,FAR,Fargo,ND,2155,221,111,111,223,America/Chicago,1.32807E+12,America/Chicago,1.328E+12,TRUE
666590,2012,14,1/14/2012,20366,EV,6049,12264,IAD,Washington,DC,CLE,Cleveland,OH,2155,144,111,111,288,America/New_York,1.3266E+12,America/New_York,1.32652E+12,TRUE
183075,2012,1,1/1/2012,20366,EV,6111,14696,SBN,South Bend,IN,ORD,Chicago,IL,2153,111,111,111,84,America/New_York,1.32547E+12,America/Chicago,1.3254E+12,FALSE
669208,2012,1,1/1/2012,20366,EV,6111,14696,SBN,South Bend,IN,ORD,Chicago,IL,2153,111,111,111,84,America/New_York,1.32547E+12,America/Chicago,1.3254E+12,FALSE
271151,2012,15,1/15/2012,20304,OO,4475,14869,SLC,Salt Lake City,UT,BTM,Butte,MT,2151,111,111,111,358,America/Denver,1.32669E+12,America/Denver,1.32662E+12,TRUE
757284,2012,15,1/15/2012,20304,OO,4475,14869,SLC,Salt Lake City,UT,BTM,Butte,MT,2151,111,111,111,358,America/Denver,1.32669E+12,America/Denver,1.32662E+12,TRUE
302680,2012,22,1/22/2012,20304,OO,7796,14869,SLC,Salt Lake City,UT,SUN,Sun Valley/Hailey/Ketchum,ID,2150,111,111,111,222,America/Denver,1.32729E+12,America/Denver,1.32722E+12,TRUE
788813,2012,22,1/22/2012,20304,OO,7796,14869,SLC,Salt Lake City,UT,SUN,Sun Valley/Hailey/Ketchum,ID,2150,111,111,111,222,America/Denver,1.32729E+12,America/Denver,1.32722E+12,TRUE
99842,2012,16,1/16/2012,19790,DL,412,10397,ATL,Atlanta,GA,BOS,Boston,MA,2149,245,111,111,946,America/New_York,1.32677E+12,America/New_York,1.3267E+12,TRUE
416928,2012,12,1/12/2012,19393,WN,2357,11292,DEN,Denver,CO,ONT,Ontario,CA,2149,2352,111,111,819,America/Denver,1.32643E+12,America/Los_Angeles,1.32644E+12,FALSE
585975,2012,16,1/16/2012,19790,DL,412,10397,ATL,Atlanta,GA,BOS,Boston,MA,2149,245,111,111,946,America/New_York,1.32677E+12,America/New_York,1.3267E+12,TRUE
903061,2012,12,1/12/2012,19393,WN,2357,11292,DEN,Denver,CO,ONT,Ontario,CA,2149,2352,111,111,819,America/Denver,1.32643E+12,America/Los_Angeles,1.32644E+12,FALSE
